Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,""
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  32 , 1 217 ,  837 , 1 538 ,  675 , 1 144 ,  0 , 5 443
Baja California ,  4 ,  1 ,  4 ,  17 ,  35 ,  233 , 3 316 , 1 967 , 4 504 , 1 943 , 2 824 ,  25 , 14 873
Baja California Sur ,  0 ,  0 ,  0 ,  2 ,  8 ,  8 ,  622 ,  232 ,  535 ,  185 ,  232 ,  0 , 1 824
Campeche ,  0 ,  1 ,  1 ,  0 ,  5 ,  28 ,  646 ,  424 ,  676 ,  230 ,  310 ,  5 , 2 326
Coahuila ,  0 ,  4 ,  3 ,  9 ,  23 ,  133 , 2 740 , 1 925 , 4 009 , 1 978 , 2 856 ,  121 , 13 801
Colima ,  0 ,  0 ,  0 ,  0 ,  1 ,  12 ,  465 ,  236 ,  515 ,  190 ,  289 ,  3 , 1 711
Chiapas ,  0 ,  2 ,  7 ,  7 ,  33 ,  78 , 2 725 , 1 859 , 3 838 , 1 584 , 2 662 ,  46 , 12 841
Chihuahua ,  1 ,  11 ,  5 ,  26 ,  29 ,  98 , 4 626 , 2 468 , 5 505 , 2 322 , 3 886 ,  54 , 19 031
Distrito Federal ,  0 ,  1 ,  8 ,  19 ,  44 ,  207 , 6 434 , 4 575 , 9 745 , 4 990 , 7 253 ,  18 , 33 294
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  46 , 1 625 , 1 145 , 2 595 , 1 015 , 2 126 ,  0 , 8 552
Guanajuato ,  0 ,  0 ,  2 ,  10 ,  32 ,  146 , 3 862 , 2 234 , 4 625 , 1 987 , 3 160 ,  0 , 16 058
Guerrero ,  0 ,  1 ,  0 ,  3 ,  19 ,  121 , 2 849 , 1 998 , 3 983 , 1 549 , 2 575 ,  125 , 13 223
Hidalgo ,  0 ,  0 ,  3 ,  4 ,  18 ,  75 , 1 422 ,  964 , 2 059 , 1 041 , 1 541 ,  2 , 7 129
Jalisco ,  1 ,  2 ,  3 ,  25 ,  57 ,  250 , 6 230 , 3 861 , 8 678 , 4 305 , 7 658 ,  129 , 31 199
México ,  8 ,  6 ,  16 ,  29 ,  155 ,  568 , 11 608 , 8 070 , 16 716 , 8 250 , 12 051 ,  177 , 57 654
Michoacán ,  0 ,  0 ,  6 ,  0 ,  1 ,  77 , 2 343 , 1 886 , 4 158 , 2 356 , 4 170 ,  22 , 15 019
Morelos ,  0 ,  1 ,  3 ,  19 ,  14 ,  66 , 1 638 , 1 177 , 2 977 , 1 421 , 2 483 ,  9 , 9 808
Nayarit ,  0 ,  0 ,  0 ,  0 ,  3 ,  26 ,  710 ,  499 , 1 149 ,  383 ,  822 ,  3 , 3 595
Nuevo León ,  0 ,  2 ,  8 ,  26 ,  50 ,  162 , 3 702 , 2 188 , 4 662 , 2 025 , 3 132 ,  12 , 15 969
Oaxaca ,  0 ,  0 ,  6 ,  7 ,  19 ,  128 , 3 035 , 1 889 , 3 689 , 1 631 , 2 774 ,  9 , 13 187
Puebla ,  0 ,  1 ,  2 ,  9 ,  28 ,  98 , 2 916 , 2 196 , 4 934 , 2 311 , 4 048 ,  39 , 16 582
Querétaro ,  0 ,  0 ,  0 ,  0 ,  3 ,  26 , 1 431 ,  768 , 1 649 ,  607 , 1 036 ,  0 , 5 520
Quintana Roo ,  0 ,  1 ,  1 ,  3 ,  12 ,  39 ,  977 ,  478 ,  818 ,  293 ,  392 ,  0 , 3 014
San Luis Potosí ,  0 ,  0 ,  0 ,  3 ,  7 ,  94 , 2 730 , 1 702 , 3 256 , 1 455 , 2 499 ,  0 , 11 746
Sinaloa ,  0 ,  0 ,  0 ,  0 ,  26 ,  87 , 2 601 , 1 738 , 4 625 , 1 792 , 2 929 ,  6 , 13 804
Sonora ,  2 ,  1 ,  1 ,  6 ,  14 ,  79 , 2 159 , 1 289 , 3 084 , 1 094 , 2 027 ,  8 , 9 764
Tabasco ,  1 ,  2 ,  2 ,  4 ,  6 ,  64 , 2 029 , 1 228 , 2 331 ,  856 , 1 236 ,  7 , 7 766
Tamaulipas ,  0 ,  4 ,  7 ,  8 ,  23 ,  187 , 3 051 , 2 151 , 3 901 , 2 300 , 3 091 ,  9 , 14 732
Tlaxcala ,  0 ,  0 ,  1 ,  0 ,  8 ,  15 ,  714 ,  510 , 1 188 ,  514 ,  999 ,  9 , 3 958
Veracruz ,  0 ,  2 ,  3 ,  15 ,  56 ,  175 , 5 028 , 3 283 , 7 240 , 3 099 , 5 037 ,  16 , 23 954
Yucatán ,  0 ,  0 ,  0 ,  0 ,  13 ,  36 , 1 673 ,  934 , 2 568 , 1 219 , 1 931 ,  7 , 8 381
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  0 ,  33 , 1 001 ,  617 , 1 278 ,  472 ,  871 ,  2 , 4 274
TOTAL GLOBAL ,  17 ,  43 ,  92 ,  251 ,  742 , 3 427 , 88 125 , 57 328 , 123 028 , 56 072 , 90 044 ,  863 , 420 032
