"",Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes , 2 992 ,  334 ,  265 ,  232 ,  234 ,  289 ,  202 ,  288 ,  228 ,  195 ,  291 ,  233 ,  201
Baja California , 7 757 ,  643 ,  525 ,  531 ,  613 ,  780 ,  576 ,  897 ,  884 ,  589 ,  775 ,  512 ,  432
Baja California Sur ,  973 ,  86 ,  85 ,  75 ,  100 ,  127 ,  78 ,  105 ,  66 ,  76 ,  73 ,  59 ,  43
Campeche ,  789 ,  48 ,  46 ,  58 ,  71 ,  65 ,  73 ,  64 ,  80 ,  85 ,  97 ,  52 ,  50
Coahuila , 4 518 ,  475 ,  414 ,  356 ,  265 ,  404 ,  363 ,  392 ,  437 ,  435 ,  475 ,  257 ,  245
Colima ,  870 ,  81 ,  56 ,  79 ,  81 ,  91 ,  65 ,  88 ,  79 ,  67 ,  69 ,  61 ,  53
Chiapas , 4 479 ,  457 ,  368 ,  308 ,  410 ,  476 ,  414 ,  393 ,  374 ,  333 ,  402 ,  305 ,  239
Chihuahua , 5 856 ,  684 ,  501 ,  474 ,  504 ,  575 ,  419 ,  541 ,  421 ,  387 ,  583 ,  414 ,  353
Distrito Federal , 11 845 , 1 109 ,  903 ,  849 ,  965 , 1 118 ,  979 , 1 181 , 1 004 ,  927 , 1 151 ,  921 ,  738
Durango , 3 445 ,  219 ,  173 ,  240 ,  236 ,  824 ,  230 ,  303 ,  253 ,  341 ,  304 ,  196 ,  126
Guanajuato , 5 842 ,  624 ,  495 ,  381 ,  525 ,  619 ,  479 ,  616 ,  429 ,  406 ,  517 ,  409 ,  342
Guerrero , 5 215 ,  500 ,  448 ,  430 ,  422 ,  474 ,  464 ,  541 ,  432 ,  340 ,  503 ,  362 ,  299
Hidalgo , 3 277 ,  308 ,  250 ,  250 ,  307 ,  313 ,  268 ,  341 ,  252 ,  246 ,  318 ,  236 ,  188
Jalisco , 11 552 , 1 153 , 1 029 ,  891 , 1 077 , 1 189 ,  884 , 1 101 ,  757 ,  950 , 1 061 ,  800 ,  660
México , 24 096 , 2 523 , 2 152 , 2 148 , 2 422 , 2 572 , 2 014 , 1 992 , 1 574 , 1 671 , 2 124 , 1 604 , 1 300
Michoacán , 5 135 ,  489 ,  432 ,  407 ,  456 ,  512 ,  454 ,  493 ,  414 ,  377 ,  478 ,  346 ,  277
Morelos , 4 906 ,  383 ,  375 ,  382 ,  411 ,  524 ,  381 ,  501 ,  374 ,  389 ,  495 ,  374 ,  317
Nayarit , 1 535 ,  147 ,  142 ,  126 ,  177 ,  205 ,  130 ,  75 ,  134 ,  91 ,  128 ,  87 ,  93
Nuevo León , 7 059 ,  618 ,  534 ,  501 ,  546 ,  758 ,  552 ,  642 ,  714 ,  632 ,  652 ,  482 ,  428
Oaxaca , 4 281 ,  399 ,  322 ,  300 ,  353 ,  377 ,  316 ,  452 ,  365 ,  365 ,  429 ,  391 ,  212
Puebla , 5 353 ,  315 ,  425 ,  451 ,  445 ,  550 ,  407 ,  504 ,  437 ,  460 ,  509 ,  498 ,  352
Querétaro , 2 044 ,  204 ,  151 ,  166 ,  184 ,  194 ,  158 ,  196 ,  131 ,  160 ,  202 ,  132 ,  166
Quintana Roo , 1 410 ,  133 ,  126 ,  94 ,  111 ,  162 ,  106 ,  137 ,  120 ,  128 ,  127 ,  76 ,  90
San Luis Potosí , 4 573 ,  375 ,  366 ,  395 ,  374 ,  492 ,  406 ,  465 ,  378 ,  349 ,  395 ,  302 ,  276
Sinaloa , 7 090 ,  588 ,  594 ,  545 ,  582 ,  642 ,  564 ,  773 ,  665 ,  557 ,  674 ,  532 ,  374
Sonora , 4 303 ,  411 ,  379 ,  333 ,  369 ,  410 ,  373 ,  452 ,  318 ,  319 ,  424 ,  289 ,  226
Tabasco , 3 099 ,  322 ,  282 ,  220 ,  255 ,  297 ,  256 ,  304 ,  242 ,  242 ,  306 ,  218 ,  155
Tamaulipas , 6 066 ,  579 ,  537 ,  502 ,  517 ,  626 ,  463 ,  548 ,  500 ,  428 ,  533 ,  412 ,  421
Tlaxcala , 1 557 ,  187 ,  153 ,  122 ,  169 ,  167 ,  92 ,  133 ,  110 ,  101 ,  137 ,  105 ,  81
Veracruz , 10 260 , 1 069 ,  869 ,  793 ,  827 ,  997 ,  850 , 1 062 ,  830 ,  720 ,  881 ,  815 ,  547
Yucatán , 2 366 ,  295 ,  192 ,  205 ,  200 ,  219 ,  190 ,  204 ,  190 ,  163 ,  208 ,  153 ,  147
Zacatecas , 1 677 ,  152 ,  123 ,  131 ,  138 ,  168 ,  163 ,  167 ,  115 ,  130 ,  146 ,  110 ,  134
TOTAL GLOBAL , 166 220 , 15 910 , 13 712 , 12 975 , 14 346 , 17 216 , 13 369 , 15 951 , 13 307 , 12 659 , 15 467 , 11 743 , 9 565
