Estado ,Total ,ENE ,FEB ,MAR ,ABR ,MAY ,JUN ,JUL ,AGO ,SEP ,OCT ,NOV ,DIC
Aguascalientes , 2 124 ,  212 ,  182 ,  261 ,  162 ,  196 ,  177 ,  153 ,  152 ,  159 ,  167 ,  162 ,  141
Baja California , 7 226 ,  546 ,  542 ,  739 ,  513 ,  514 ,  712 ,  525 ,  581 ,  700 ,  674 ,  588 ,  592
Baja California Sur , 1 178 ,  91 ,  104 ,  97 ,  73 ,  102 ,  141 ,  94 ,  86 ,  99 ,  80 ,  106 ,  105
Campeche , 1 436 ,  107 ,  149 ,  159 ,  75 ,  78 ,  148 ,  94 ,  115 ,  133 ,  126 ,  121 ,  131
Coahuila , 9 679 ,  881 ,  827 , 1 026 ,  661 ,  751 , 1 004 ,  712 ,  750 ,  889 ,  764 ,  648 ,  766
Colima , 1 103 ,  76 ,  80 ,  94 ,  79 ,  99 ,  113 ,  74 ,  131 ,  141 ,  85 ,  59 ,  72
Chiapas , 7 138 ,  582 ,  625 ,  750 ,  610 ,  670 ,  763 ,  417 ,  605 ,  679 ,  530 ,  463 ,  444
Chihuahua , 11 704 ,  873 ,  918 , 1 138 ,  871 , 1 038 , 1 223 ,  969 ,  953 , 1 117 ,  878 ,  848 ,  878
Distrito Federal , 19 749 , 1 621 , 1 739 , 2 259 , 1 258 , 1 429 , 2 141 , 1 603 , 1 632 , 1 716 , 1 519 , 1 411 , 1 421
Durango , 4 108 ,  259 ,  287 ,  331 ,  284 ,  360 ,  381 ,  317 ,  295 ,  501 ,  449 ,  322 ,  322
Guanajuato , 10 810 ,  889 ,  869 , 1 161 ,  780 ,  901 , 1 233 ,  850 ,  786 , 1 001 ,  827 ,  728 ,  785
Guerrero , 7 742 ,  696 ,  613 ,  857 ,  579 ,  632 ,  756 ,  532 ,  594 ,  790 ,  660 ,  552 ,  481
Hidalgo , 4 652 ,  267 ,  339 ,  423 ,  390 ,  452 ,  518 ,  391 ,  438 ,  524 ,  309 ,  318 ,  283
Jalisco , 17 560 , 1 517 , 1 673 , 1 836 , 1 279 , 1 477 , 1 844 , 1 335 , 1 417 , 1 673 , 1 157 , 1 129 , 1 223
México , 33 822 , 2 609 , 2 662 , 3 526 , 2 196 , 2 743 , 3 590 , 2 757 , 2 621 , 3 245 , 2 651 , 2 666 , 2 556
Michoacán , 8 181 ,  592 ,  671 ,  855 ,  590 ,  670 ,  758 ,  571 ,  681 ,  854 ,  690 ,  671 ,  578
Morelos , 6 951 ,  562 ,  566 ,  663 ,  444 ,  496 ,  696 ,  565 ,  541 ,  617 ,  779 ,  493 ,  529
Nayarit , 2 083 ,  251 ,  230 ,  221 ,  155 ,  162 ,  190 ,  126 ,  135 ,  172 ,  135 ,  135 ,  171
Nuevo León , 10 443 ,  719 ,  846 , 1 070 ,  666 ,  842 , 1 103 ,  953 ,  861 ,  975 ,  867 ,  815 ,  726
Oaxaca , 7 554 ,  530 ,  602 ,  806 ,  587 ,  643 ,  735 ,  609 ,  688 ,  766 ,  585 ,  471 ,  532
Puebla , 10 559 , 1 081 ,  976 , 1 274 ,  761 ,  858 , 1 088 ,  802 ,  788 ,  830 ,  753 ,  702 ,  646
Querétaro , 2 956 ,  223 ,  202 ,  294 ,  179 ,  215 ,  291 ,  244 ,  260 ,  269 ,  268 ,  283 ,  228
Quintana Roo , 2 091 ,  153 ,  141 ,  183 ,  117 ,  122 ,  195 ,  228 ,  198 ,  240 ,  169 ,  144 ,  201
San Luis Potosí , 6 813 ,  475 ,  637 ,  698 ,  453 ,  472 ,  660 ,  549 ,  560 ,  668 ,  581 ,  548 ,  512
Sinaloa , 8 696 ,  750 ,  750 ,  996 ,  615 ,  789 ,  941 ,  674 ,  596 ,  806 ,  575 ,  627 ,  577
Sonora , 5 009 ,  425 ,  424 ,  517 ,  359 ,  378 ,  644 ,  409 ,  382 ,  434 ,  366 ,  326 ,  345
Tabasco , 5 112 ,  352 ,  395 ,  499 ,  356 ,  441 ,  478 ,  490 ,  434 ,  542 ,  411 ,  400 ,  314
Tamaulipas , 7 884 ,  600 ,  613 ,  806 ,  591 ,  592 ,  813 ,  606 ,  671 ,  818 ,  589 ,  591 ,  594
Tlaxcala , 2 245 ,  185 ,  187 ,  236 ,  153 ,  153 ,  193 ,  173 ,  202 ,  233 ,  172 ,  170 ,  188
Veracruz , 13 998 , 1 160 , 1 116 , 1 401 , 1 045 , 1 202 , 1 474 , 1 072 , 1 280 , 1 320 , 1 026 , 1 020 ,  882
Yucatán , 5 579 ,  439 ,  423 ,  582 ,  505 ,  538 ,  602 ,  399 ,  427 ,  493 ,  435 ,  377 ,  359
Zacatecas , 2 792 ,  218 ,  216 ,  292 ,  240 ,  290 ,  287 ,  208 ,  236 ,  250 ,  188 ,  196 ,  171
TOTAL GLOBAL , 248 977 , 19 941 , 20 604 , 26 050 , 17 626 , 20 305 , 25 892 , 19 501 , 20 096 , 23 654 , 19 465 , 18 090 , 17 753
